"CODIGOINE","SUPERFICIE","ALTITUD","LONGITUD_ETRS89","LATITUD_ETRS89","EDAD_MEDIA","de0.18","de19.67","masde68","de0.12","HOMBRES","MUJERES"
"01001",1994.5872,568,-2.51243731,42.83981158,38.13594233,756,1895,262,527,1512,1401
"01002",9635.289,219,-3.00007326,43.05427776,44.96113109,1740,6689,1862,1275,5101,5190
"01003",7327.4027,333,-2.56540037,43.05119653,45.08823529,290,929,277,187,791,705
"01004",2728.73,210,-3.12791718,43.12084358,42.7211591,375,1187,267,264,914,915
"01006",1294.4326,467,-2.87183475,42.72326199,42.11715481,47,165,27,37,128,111
"01008",5740.9889,528,-2.63878816,42.89116171,44.89241803,175,659,142,105,528,448
"01009",6533.64,602,-2.31670754,42.88968768,44.86768293,290,1076,274,192,823,817
"01010",14074.15,306,-3.04306746,43.07768283,41.96699225,645,1890,434,468,1508,1461
"01011",945.9752,421,-2.67863583,42.52925602,49.28104575,38,197,71,15,167,139
"01013",9742.34,575,-2.49407452,42.91537538,45.79287305,165,581,152,96,502,396
"01014",3573.0031,471,-2.85971414,42.68227191,48.18510158,66,259,118,46,236,207
"01016",13044.2902,710,-2.49825439,42.62676989,50.01984127,66,311,127,49,299,205
"01017",8536.0875,578,-2.35207693,42.66971209,48.00572519,156,658,234,107,556,492
"01018",10206.9376,585,-2.73033002,42.96210609,44.79275198,323,1181,262,221,960,806
"01019",1251.599,691,-2.51621636,42.59082439,47.875,31,111,42,17,98,86
"01020",8403.4771,594,-2.88438243,42.87006411,50.72311828,45,243,84,35,216,156
"01021",3209.3031,547,-2.54601815,42.84940575,42.7199341,113,434,60,69,319,288
"01022",1632.3129,451,-2.61723872,42.51420738,45.46019417,184,635,211,127,514,516
"01023",1750.2228,581,-2.54441267,42.56842577,46.7592068,58,215,80,32,173,180
"01027",4712.8628,634,-2.47396549,42.83108571,45.65471698,83,368,79,48,289,241
"01028",3816.9756,554,-2.79288705,42.59076105,43.27647868,292,916,246,203,762,692
"01030",4562.02,751,-2.58423377,42.62621464,55.84939759,11,101,54,10,92,74
"01031",8108.514,630,-2.58411693,42.55236655,46.14179104,227,967,280,156,763,711
"01032",2419.6239,542,-2.51278162,42.5624416,46.16196137,116,405,152,85,345,328
"01033",598.7767,431,-2.57209001,42.49441468,45.54365541,148,549,162,98,448,411
"01034",992.2543,569,-2.63459428,42.56469687,49.07881773,34,117,52,25,100,103
