"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Total","23.696.572","20.608.731","44.157.547",NA,NA,"27.632","22.634"
"Andalucía","4.200.815","3.516.213","8.412.154",NA,NA,"23.018","19.306"
"Almería","356.519","311.194","716.820",NA,NA,"20.604","17.433"
"Almería-04013","101.884","89.186","198.533","789","43","24.822","20.512"
"Macael-04062","2.901","2.249","5.482","973","55","23.504","19.645"
"Carboneras-04032","4.239","3.461","8.004","1.019","56","23.242","19.398"
"Huércal de Almería-04052","9.464","8.172","17.651","1.175","73","22.310","18.802"
"Roquetas de Mar-04079","48.299","43.237","96.800","1.319","92","21.581","18.063"
"Mojácar-04064","2.878","2.580","6.403","1.389","100","21.256","17.875"
"Vera-04100","7.756","6.697","16.452","1.399","102","21.218","17.831"
"Olula del Río-04069","3.215","2.584","6.210","1.552","117","20.432","17.358"
"Tíjola-04092","1.689","1.428","3.541","1.575","121","20.342","17.202"
"Huércal-Overa-04053","9.881","8.665","19.127","1.631","135","20.081","17.083"
"Benahadux-04024","2.231","1.862","4.382","1.665","139","19.904","17.138"
"Fines-04044","1.030","833","2.079","1.759","153","19.468","16.625"
"Purchena-04076","736","607","1.618","1.814","163","19.219","16.447"
"Serón-04083","944","803","2.041","1.818","165","19.217","16.467"
"Pechina-04074","1.818","1.541","4.037","1.832","168","19.175","16.536"
"Albox-04006","5.301","4.554","11.805","1.911","181","18.919","16.263"
"Garrucha-04049","4.539","3.875","9.212","1.952","187","18.745","16.075"
"Viator-04101","2.689","2.286","5.885","1.984","196","18.611","16.262"
"Pulpí-04075","5.282","4.740","10.055","1.998","199","18.564","15.957"
"Antas-04016","1.760","1.483","3.182","2.024","206","18.474","15.863"
"Dalías-04038","1.953","1.665","4.006","2.040","208","18.407","15.808"
"Gádor-04047","1.257","1.059","3.012","2.071","218","18.257","15.849"
"Ejido, El-04902","42.906","38.087","83.594","2.078","220","18.237","15.618"
"Alhama de Almería-04011","1.805","1.459","3.641","2.157","244","17.957","15.738"
"Balanegra-04904","1.476","1.288","3.009","2.171","249","17.887","15.550"
"Cuevas del Almanzora-04035","7.066","6.071","14.081","2.178","251","17.860","15.489"
"Vélez-Rubio-04099","3.746","3.202","6.555","2.196","259","17.799","15.520"
"Cantoria-04031","1.511","1.274","3.204","2.205","261","17.769","15.457"
"Adra-04003","11.750","9.985","25.148","2.221","267","17.699","15.339"
"Gallardos, Los-04048","1.372","1.177","2.794","2.287","287","17.409","15.154"
"Berja-04029","6.098","5.120","12.415","2.305","292","17.292","15.019"
"Turre-04093","1.554","1.351","3.549","2.348","313","17.098","14.969"
"Chirivel-04037","814","719","1.472","2.372","319","17.001","14.954"
"Vícar-04102","12.028","10.671","26.028","2.397","328","16.881","14.770"
"Zurgena-04103","1.342","1.138","3.005","2.445","340","16.662","14.827"
"Rioja-04078","614","531","1.417","2.528","380","16.270","14.270"
"Sorbas-04086","1.127","937","2.388","2.539","381","16.220","14.355"
"Níjar-04066","15.540","13.958","30.663","2.590","396","15.996","14.023"
"Arboleas-04017","1.728","1.495","4.596","2.638","420","15.752","14.132"
"Mojonera, La-04903","4.612","4.129","9.021","2.640","421","15.746","13.845"
"Oria-04070","1.031","881","2.249","2.656","426","15.667","13.916"
"Tabernas-04088","1.623","1.449","3.688","2.683","441","15.481","13.684"
"Abla-04001","564","504","1.249","2.686","444","15.470","13.674"
"Partaloa-04072","285","243","1.110","2.708","454","15.349","13.526"
"Gérgal-04050","409","353","1.030","2.711","455","15.340","13.606"
"Vélez-Blanco-04098","992","864","1.904","2.714","456","15.329","13.699"
"Láujar de Andarax-04057","821","642","1.536","2.734","472","15.177","13.300"
"Lubrín-04059","720","638","1.477","2.742","475","15.097","13.722"
"María-04063","765","661","1.238","2.747","478","15.065","13.574"
"Canjáyar-04030","510","437","1.214","2.775","494","14.852","13.382"
"Fiñana-04045","1.120","926","1.994","2.779","497","14.820","13.336"
"Abrucena-04002","619","522","1.202","2.835","532","14.183","12.858"
"Agrupación municipios pequeños-04","8.225","6.915","20.832","-","-","15.753","13.995"
"Cádiz","594.924","478.203","1.240.155",NA,NA,"24.028","20.178"
"San Roque-11033","14.013","11.314","31.218","263","14","29.160","24.081"
"Algeciras-11004","56.121","45.093","121.957","274","15","29.042","23.630"
"Cádiz-11012","61.077","51.241","116.027","358","18","28.201","23.306"
"Puerto de Santa María, El-11027","42.106","34.003","88.405","425","19","27.532","22.727"
"Barrios, Los-11008","11.394","9.101","23.642","435","20","27.442","22.477"
"San Fernando-11031","48.556","37.698","94.979","664","31","25.522","21.453"
"Puerto Real-11028","21.602","16.919","41.627","749","38","25.032","20.954"
"Línea de la Concepción, La-11022","25.242","20.585","63.147","776","40","24.908","21.200"
"Rota-11030","15.216","12.075","29.109","825","45","24.625","20.882"
"Jerez de la Frontera-11020","99.967","80.287","212.749","899","51","24.063","20.193"
"Chiclana de la Frontera-11015","40.220","31.579","84.489","1.079","65","22.897","19.349"
"Tarifa-11035","8.701","7.327","18.162","1.196","74","22.191","18.826"
"Castellar de la Frontera-11013","1.440","1.158","3.049","1.260","82","21.917","18.543"
"Conil de la Frontera-11014","11.214","8.967","22.529","1.414","103","21.133","17.883"
"Bosque, El-11011","1.029","847","2.145","1.562","119","20.393","17.336"
"Sanlúcar de Barrameda-11032","31.232","24.609","68.684","1.831","167","19.182","16.537"
"Ubrique-11038","8.911","7.379","16.597","1.871","176","19.020","16.347"
"Jimena de la Frontera-11021","3.226","2.580","6.951","1.907","179","18.927","16.406"
"Villamartín-11041","5.722","4.767","12.150","2.042","209","18.401","15.924"
"Medina Sidonia-11023","5.865","4.574","11.708","2.049","210","18.373","15.984"
"Barbate-11007","9.855","7.856","22.518","2.054","213","18.363","15.997"
"Trebujena-11037","3.455","3.031","7.028","2.079","221","18.236","15.927"
"Alcalá de los Gazules-11001","2.663","2.108","5.219","2.093","228","18.178","15.682"
"Chipiona-11016","7.710","6.140","19.123","2.130","236","18.033","15.671"
"Arcos de la Frontera-11006","14.813","11.823","30.700","2.146","241","17.992","15.700"
"Vejer de la Frontera-11039","6.191","4.908","12.624","2.215","263","17.727","15.502"
"San Martín del Tesorillo-11903","1.089","865","2.753","2.216","264","17.722","15.562"
"Espera-11017","1.806","1.439","3.860","2.244","274","17.593","15.453"
"Olvera-11024","4.722","3.867","8.113","2.245","275","17.592","15.487"
"Setenil de las Bodegas-11034","1.418","1.147","2.769","2.313","295","17.247","15.280"
"Algar-11003","676","546","1.413","2.321","300","17.210","15.089"
"Paterna de Rivera-11025","2.675","2.023","5.470","2.337","305","17.139","15.085"
"Benalup-Casas Viejas-11901","3.688","3.004","6.929","2.350","314","17.094","14.995"
"Zahara-11042","719","615","1.387","2.479","356","16.477","14.733"
"San José del Valle-11902","2.005","1.602","4.418","2.514","373","16.344","14.465"
"Algodonales-11005","2.829","2.278","5.550","2.540","382","16.212","14.465"
"Prado del Rey-11026","2.700","2.164","5.605","2.580","392","16.030","14.123"
"Grazalema-11019","1.106","920","2.027","2.593","398","15.983","14.171"
"Bornos-11010","3.780","3.078","7.670","2.611","408","15.904","14.138"
"Gastor, El-11018","1.049","862","1.752","2.728","466","15.212","13.610"
"Alcalá del Valle-11002","2.723","2.152","5.046","2.729","467","15.193","13.695"
"Puerto Serrano-11029","3.502","2.911","6.941","2.877","556","13.430","12.249"
"Agrupación municipios pequeños-11","896","761","1.916","-","-","16.637","14.508"
"Córdoba","416.065","345.980","782.979",NA,NA,"21.468","18.104"
"Córdoba-14021","172.207","145.722","325.701","568","26","26.288","21.593"
"Peñarroya-Pueblonuevo-14052","5.659","4.308","10.695","1.067","63","22.957","19.178"
"Belmez-14009","1.576","1.173","2.923","1.205","76","22.166","18.766"
"Pozoblanco-14054","10.157","8.570","17.210","1.307","86","21.642","18.194"
"Añora-14006","884","747","1.527","1.577","122","20.333","17.212"
"Espiel-14026","1.253","995","2.397","1.584","123","20.289","17.428"
"Puente Genil-14056","14.546","11.640","30.048","1.664","138","19.914","17.013"
"Montilla-14042","13.197","10.638","22.859","1.714","147","19.680","16.810"
"Cabra-14013","10.819","9.101","20.341","1.757","152","19.476","16.665"
"Villafranca de Córdoba-14067","2.520","2.098","4.871","1.771","156","19.435","16.641"
"Lucena-14038","21.444","17.218","42.605","1.807","162","19.278","16.557"
"Guadalcázar-14033","797","679","1.583","1.837","171","19.154","16.554"
